"ID de la compétence parente",ID,"Nom abrégé",Description,"Format de description","Valeurs du barème","configuration du barème","Type de règle de compétence (optionnelle)","Règle d'objectif (optionnelle)","Règle de paramétrage (optionnelle)","IDs des compétences croisées associées","ID d'exportation (optionnel)","Est un référentiel",Taxonomie
C2.2,C2.2-1,"C2.2-1 - Choisir de l'outillage, des matériaux,  des équipements de sécurité, des  équipements de ma","<p></p><div data-canvas-width=""282.34799999999996""><i>Choisir de l'outillage, des matériaux, des équipements de sécurité, des équipements de manutention, des appareils de contrôle et de mesure</i><br><br><br><b>CONDITIONS</b><br><br><div data-canvas-width=""25.7232"">- outillage, </div><div data-canvas-width=""142.58159999999998"">- site d’intervention,</div><div data-canvas-width=""203.90879999999999"">- le matériel de l'entreprise,</div><div data-canvas-width=""89.1664"">- le stock de matériaux de l'entreprise,</div><div data-canvas-width=""79.58"">- des catalogues fabricants,</div><div data-canvas-width=""94.90719999999999"">- des documents ressources,</div><div data-canvas-width=""72.2936"">- EPC/EPI,</div><div data-canvas-width=""101.03439999999998"">- équipements de manutention,</div><div data-canvas-width=""86.79279999999997"">- appareils de contrôle et de mesure,</div><div data-canvas-width=""174.1744"">- documents fabricants,</div><div data-canvas-width=""116.23279999999998"">- bon de commande,</div><div data-canvas-width=""128.2112"">- bon de livraison,</div><div data-canvas-width=""39.8544"">- DQE.</div><br><br><b>CRITÈRES D’ÉVALUATION</b><br><br><div data-canvas-width=""194.7456"">- Les équipements et les matériaux nécessaires sont correctement choisis et en quantité suffisante,</div><div data-canvas-width=""206.8896"">- Les appareils sont choisis en adéquation avec les tâches à réaliser,</div><div data-canvas-width=""59.22959999999999"">- La disponibilité est vérifiée,</div><div data-canvas-width=""68.42959999999998"">- La vérification de l’état est réalisée et la non conformité ou vétusté est signalée,</div><div data-canvas-width=""139.80319999999998"">- Les contraintes de prévention, sécurité et respect de l'environnement sont prises en compte.</div><br></div><br><p></p>",1,,,,0,null,,41,,
C2.2,C2.2-2,"C2.2-2 - Vérifier la conformité d'une  commande de matériel ou de  matériaux","<p></p><div><b>CONDITIONS</b><br><br>- outillage, </div><div>- site d’intervention,</div><div>- le matériel de l'entreprise,</div><div>- le stock de matériaux de l'entreprise,</div><div>- des catalogues fabricants,</div><div>- des documents ressources,</div><div>- EPC/EPI,</div><div>- équipements de manutention,</div><div>- appareils de contrôle et de mesure,</div><div>- documents fabricants,</div><div>- bon de commande,</div><div>- bon de livraison,</div><div>- DQE.</div><div data-canvas-width=""39.8544""></div><br><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""229.37440000000004"">L'adéquation entre les différents documents, ainsi que le matériel, est vérifiée. </div><div data-canvas-width=""214.93039999999996"">Les erreurs sont signalées.</div><br><p></p><p><br></p>",1,,,,0,null,,42,,
C2,C2.3,"C2.3 - Préparer les conditions d'intervention sur site",,1,,,,0,null,,8,,
C2.3,C2.3-1,"C2.3-1 - Repérer un lieu d'intervention ","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""184.62559999999993"">- site d’intervention, plans, documents ressources,</div><div data-canvas-width=""60.99983333333333"">- PPSPS,</div><div data-canvas-width=""122.15759999999995"">- autorisations administratives,</div><div data-canvas-width=""119.3424"">- la réglementation sur le tri des déchets,</div><div data-canvas-width=""142.6"">- règlement spécifique du lieu d’intervention,</div><div data-canvas-width=""135.75519999999997"">- conditions météorologiques.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Le lieu d'intervention, ainsi que la zone de travail sont identifiés et repérés sur plan ou sur site avec exactitude.</p><br><p></p><p><br></p>",1,,,,0,null,,43,,
C2.3,C2.3-2,"C2.3-2 - Vérifier la concordance entre l es  plans et le site réel","<p></p><p><b>CONDITIONS</b></p><p></p><div>- site d’intervention, plans, documents ressources,</div><div>- PPSPS,</div><div>- autorisations administratives,</div><div>- la réglementation sur le tri des déchets,</div><div>- règlement spécifique du lieu d’intervention,</div><div>- conditions météorologiques.</div><div data-canvas-width=""135.75519999999997""></div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Toutes les différences relevées sont signalées.</p><br><p></p><p><br></p>",1,,,,0,null,,44,,
C2.3,C2.3-3,"C2.3-3 - Respecter les consignes liées aux   contraintes d'intervention sur un  chantier","<p></p><p><b>CONDITIONS</b></p><p></p><div>- site d’intervention, plans, documents ressources,</div><div>- PPSPS,</div><div>- autorisations administratives,</div><div>- la réglementation sur le tri des déchets,</div><div>- règlement spécifique du lieu d’intervention,</div><div>- conditions météorologiques.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>En fonction des tâches à réaliser sur le chantier, les consignes sont respectées (accès, manutention, stockage, sécurité).</p><br><p></p><p><br></p>",1,,,,0,null,,45,,
C2,C2.4,"C2.4 - Sécuriser l'intervention",,1,,,,0,null,,9,,
C2.4,C2.4-1,"C2.4-1 - S’informer des consignes  de sécurités  et de  prévention et les  appliquer","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""66.04219999999998"">- PPSPS,</div><div data-canvas-width=""142.58159999999998"">- site d’intervention,</div><div data-canvas-width=""142.82079999999996"">- notices technique,</div><div data-canvas-width=""225.2712"">- normes en vigueurs liées aux différentes tâches à réaliser.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Tous les risques potentiels sont identifiés et les consignes à mettre en œuvre sont appliquées.</p><br><p></p><p><br></p>",1,,,,0,null,,46,,
C2.4,C2.4-2,"C2.4-2 - D’identifier les risques  propres à une  intervention ","<p></p><p><b>CONDITIONS</b></p><p></p><div>- PPSPS,</div><div>- site d’intervention,</div><div>- notices technique,</div><div>- normes en vigueurs liées aux différentes tâches à réaliser.</div><div data-canvas-width=""225.2712""></div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Les risques persistants sont signalés. </p><br><p></p><p><br></p>",1,,,,0,null,,47,,
,C3,"C3 - INSTALLER, CONTRÔLER",,1,,,,0,null,,10,,
C3,C3.1,"C3.1 - Organiser le poste de travail",,1,,,,0,null,,11,,
C3.1,C3.1-1,"C3.1-1 - Travailler en sécurité ","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""72.2936"">- EPC/EPI,</div><div data-canvas-width=""46.99359999999999"">- Outils,</div><div data-canvas-width=""76.5992"">- Eclairage,</div><div data-canvas-width=""176.40079999999995"">- Source d’alimentation,</div><div data-canvas-width=""44.01279999999999"">- Balisage,</div><div data-canvas-width=""221.11279999999996"">- Consignes écrites et orales,</div><div data-canvas-width=""121.25599999999997"">- Zone de travail,</div><div data-canvas-width=""159.06799999999998"">- Travaux en hauteur,</div><div data-canvas-width=""148.04639999999995"">- Travaux au voisinage de pièces nues sous tension.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>La zone d’intervention est sécurisée et protégée, le matériel et l’outillage sont sécurisés et correctement utilisés,<br></p><p>La zone de travail est rangée,</p><div data-canvas-width=""82.78159999999998"">Les zones d’accessibilité sont identifiées,</div><div data-canvas-width=""118.607"">Les situations dangereuses sont signalées, la co-activité sur les chantiers est prise en compte.</div><br><p></p><p><br></p>",1,,,,0,null,,48,,
C3.1,C3.1-2,"C3.1-2 - Gérer l'outillage","<p></p><p><b>CONDITIONS</b></p><p></p><div>- EPC/EPI,</div><div>- Outils,</div><div>- Éclairage,</div><div>- Source d’alimentation,</div><div>- Balisage,</div><div>- Consignes écrites et orales,</div><div>- Zone de travail,</div><div>- Travaux en hauteur,</div><div>- Travaux au voisinage de pièces nues sous tension.</div><div data-canvas-width=""148.04639999999995""></div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Les outils utilisés sont adaptés à la chronologie des opérations,<br></p><p>L’état des outils est vérifié,</p><div data-canvas-width=""159.17839999999998"">Les outils  sont utilisés de manière appropriée,</div><div data-canvas-width=""200.8176"">Les outils sont rangés et inventoriés correctement.</div><br><p></p><p><br></p>",1,,,,0,null,,49,,
C3.1,C3.1-3,"C3.1-3 - Maintenir la zone de  travail propre et  ordonnée","<p></p><p><b>CONDITIONS</b></p><p></p><div>- EPC/EPI,</div><div>- Outils,</div><div>- Eclairage,</div><div>- Source d’alimentation,</div><div>- Balisage,</div><div>- Consignes écrites et orales,</div><div>- Zone de travail,</div><div>- Travaux en hauteur,</div><div>- Travaux au voisinage de pièces nues sous tension.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>La zone de travail est maintenue propre et ordonnée.</p><br><p></p><p><br></p>",1,,,,0,null,,50,,
C3,C3.2,"C3.2 - Identifier les réseaux d'alimentation d'une installation",,1,,,,0,null,,12,,
C3.2,C3.2-1,"C3.2-1 - Repérer  les réseaux  nécessaires aux  raccordements","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""238.73999999999998"">- Plans et schémas techniques,</div><div data-canvas-width=""275.26399999999995"">- Codes et symbolismes en vigueur,</div><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""72.5696"">- Étiquette.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Les réseaux sont repérés.<br></p><p><br></p>",1,,,,0,null,,51,,
C3.2,C3.2-2,"C3.2-2 - Identif ier et repérer les  différents types de  réseaux et les sens de  circulation des fl","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""238.73999999999998"">- Plans et schémas techniques</div><div data-canvas-width=""275.26399999999995"">- Codes et symbolismes en vigueur</div><div data-canvas-width=""87.82319999999997"">- Installation</div><div data-canvas-width=""72.5696""></div><div>- Étiquette.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p></p><p></p><div data-canvas-width=""121.31119999999997"">- Les réseaux repérés sont étiquetés  conformément aux plans et aux exigences réglementaires.</div><br><p></p><p><br></p>",1,,,,0,null,,52,,
C3,C3.3,"C3.3 - Implanter, manutentionner, fixer le supportage, les équipements et les fixations",,1,,,,0,null,,13,,
C3.3,C3.3-1,"C3.3-1 - Repérer et tracer les  passages des réseaux","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""137.61359999999996"">- Site d’installation,</div><div data-canvas-width=""275.0064"">- Documents et notices techniques. </div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Les tracés sont conformes au dossier de chantier, respectent les contraintes de bon fonctionnement et les passages des autres réseaux.</p><br><p></p><p><br></p>",1,,,,0,null,,53,,
C3.3,C3.3-2,"C3.3-2 - Savoir monter, implanter,  manutentionner et  vérifier les supports de  tuyaux, de composan","<p></p><div data-canvas-width=""154.1368""><i>Savoir monter, implanter, manutentionner et vérifier les supports de tuyaux, de composants et les équipements.</i><br><br><br><b>CONDITIONS</b><br><br><div data-canvas-width=""154.94639999999998"">- Équipements livrés,</div><div data-canvas-width=""60.35199999999999"">- Gabarit,</div><div data-canvas-width=""275.0064"">- Documents et notices techniques,</div><div data-canvas-width=""138.6624"">- Outillage adapté,</div><div data-canvas-width=""157.94559999999998"">- Supports et fixations adaptés,</div><div data-canvas-width=""180.32"">- EPC/EPI et protections adaptés.</div><br><br><b>CRITÈRES D’ÉVALUATION</b><br><br>L’implantation est conforme,<div data-canvas-width=""261.90560000000005"">La réglementation est respectée,</div><div data-canvas-width=""237.4704"">Les supports, fixations et équipements sont correctement posés (espacement, pente,..),</div><div data-canvas-width=""177.5784"">Les gestes et posture sont correctement adaptés,</div><div data-canvas-width=""258.79599999999994"">Les outils de manutention sont adaptés et correctement utilisés.</div><br></div><br><p></p>",1,,,,0,null,,54,,
C3,C3.4,"C3.4 - Façonner, raccorder, assembler, isoler les circuits (frigorifique, hydraulique, aéraulique)",,1,,,,0,null,,14,,
C3.4,C3.4-1,"C3.4-1 - Réaliser les réseaux de  cu ivre et effectuer les  raccordements aux  appareils","<p></p><div data-canvas-width=""74.5384""><i>Réaliser les réseaux de cuivre et effectuer les raccordements aux appareils: <br>– changements de direction </i></div><div data-canvas-width=""169.04079999999996""><i>– travaux d’extrémités </i></div><div data-canvas-width=""63.35119999999999""><i>– changements de section </i></div><div data-canvas-width=""110.08719999999998""><i>– assemblages démontables et non démontables </i></div><div data-canvas-width=""145.8936""><i>– Soudage, brasage fort et/ou brasage tendre des joints étanches sur des tubes et des tuyaux métalliques pouvant être utilisés dans des systèmes de réfrigération, de climatisation et de pompes à chaleur.</i></div><br><br><b>CONDITIONS</b><br><br><div data-canvas-width=""79.83759999999998"">- Plans, schémas, documentation technique,</div><div data-canvas-width=""168.12079999999995"">- Matériel à installer et/ou à raccorder, matériaux,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""230.5703999999999"">- Chalumeau oxyacétylénique,</div><div>- Azote.</div><br><b>CRITÈRES D’ÉVALUATION</b><br><br>Les réseaux sont montés conformément au CCTP dans le respect des réglementations en <div data-canvas-width=""65.24639999999998"">vigueur.</div><div data-canvas-width=""95.90079999999999"">Les raccordements sont étanches et permettent le bon fonctionnement des appareils et facilitent les interventions ultérieures. </div><div data-canvas-width=""256.82719999999995"">Les raccordements sont réalisés selon la certification en vigueur.</div><br><p></p>",1,,,,0,null,,55,,
C3.4,C3.4-2,"C3.4-2 - Isoler les circuits ","<p><b>CONDITIONS</b></p><br><div>- Plans, schémas, documentation technique,</div><div>- Matériel à installer et/ou à raccorder, matériaux,</div><div>- Outillage,</div><div>- Chalumeau oxyacétylénique,</div><div>- Azote.</div><br><b>CRITÈRES D’ÉVALUATION</b><p></p><p></p><div data-canvas-width=""84.824"">L’isolation est continue et esthétique.</div><br><p></p><p><br></p>",1,,,,0,null,,56,,
C3,C3.5,"C3.5 - S'initier au soudage de l'acier, de l'inox et au raccordement du PER",,1,,,,0,null,,15,,
C3.5,C3.5-1,"C3.5-1 - Réaliser un assemblage  sur 2 profilés plats ou  d’équerre","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""79.83759999999998"">- Plans, schémas, documentation technique,</div><div data-canvas-width=""173.03359999999995"">- Matériel à installer et/ou à raccorder, matériaux,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""75.4768"">- Poste à souder,<br>- TIG, MIG,</div><div data-canvas-width=""96.0112"">- Sertisseuse.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>L’appareil de soudure est réglé correctement,</p><div data-canvas-width=""201.81119999999999"">L’alignement, le pointage, l’équerrage sont corrects,</div><div data-canvas-width=""56.23039999999999"">Le choix du métal d’apport est adapté.</div><br><p></p><p><br></p>",1,,,,0,null,,57,,
C3.5,C3.5-2,"C3.5-2 - Réaliser un assemblage  de 2 tubes acier mis bout  à bout","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""79.83759999999998"">- Plans, schémas, documentation technique,</div><div data-canvas-width=""173.03359999999995"">- Matériel à installer et/ou à raccorder, matériaux,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""75.4768"">- Poste à souder,<br>- TIG, MIG,</div><div data-canvas-width=""96.0112"">- Sertisseuse.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p></p><p></p><div data-canvas-width=""107.1064"">L’appareil de soudure est réglé correctement,</div><div data-canvas-width=""201.81119999999999"">L’alignement, le pointage, l’équerrage sont corrects,</div><div data-canvas-width=""56.23039999999999"">Le choix du métal d’apport est adapté.</div><br><p></p><p><br></p>",1,,,,0,null,,58,,
C3.5,C3.5-3,"C3.5-3 - Réaliser un  raccordement PER","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""79.83759999999998"">- Plans, schémas, documentation technique,</div><div data-canvas-width=""173.03359999999995"">- Matériel à installer et/ou à raccorder, matériaux,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""75.4768"">- Poste à souder,<br>- TIG, MIG,</div><div data-canvas-width=""96.0112"">- Sertisseuse.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p></p><p></p><div data-canvas-width=""208.95039999999997"">Le sertissage est étanche.</div><br><p></p><p><br></p>",1,,,,0,null,,59,,
C3,C3.6,"C3.6 - Câbler, repérer, connecter les liaisons électriques et électroniques",,1,,,,0,null,,16,,
C3.6,C3.6-1,"C3.6-1 - Identifier la connectique  des schémas électriques  et électroniques","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""233.36719999999997"">- Plans, schémas électriques, </div><div data-canvas-width=""197.83679999999995"">- schémas électroniques, </div><div data-canvas-width=""204.77359999999993"">- documentation technique,</div><div data-canvas-width=""77.50079999999998"">- Matériel à installer et/ou à raccorder.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p><b><br></b></p><p></p><div data-canvas-width=""72.6064"">Les éléments à raccorder, le type et la section des conducteurs sont identifiés</div><br><p></p><p><br></p>",1,,,,0,null,,60,,
C3.6,C3.6-2,"C3.6-2 - Positionner les câbles de  liaison des appareils du  circuit électrique et  électronique","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""233.36719999999997"">- Plans, schémas électriques, </div><div data-canvas-width=""197.83679999999995"">- schémas électroniques, </div><div data-canvas-width=""78.32879999999997"">- documentations techniques,</div><div data-canvas-width=""165.1032"">- matériels, matériaux.</div><br><p></p><p><b>CRITERES D'EVALUATION</b></p><p></p><div data-canvas-width=""130.49279999999996"">Les câbles sont rangés, préparés, repérés et fixé. </div><div data-canvas-width=""217.04639999999995"">Les liaisons sont conformes au schéma de raccordement. </div><br><p></p><p><br></p>",1,,,,0,null,,61,,
C3.6,C3.6-3,"C3.6-3 - Réaliser les connexions  électriques et  électroniques entre les  éléments de l’installatio","<p></p><div data-canvas-width=""20.40013333333333""><i>Réaliser les connexions électriques et électroniques entre les éléments de l’installation et le coffret électrique.<br><br></i></div><p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""233.36719999999997"">- Plans, schémas électriques, </div><div data-canvas-width=""197.83679999999995"">- schémas électroniques, </div><div data-canvas-width=""78.32879999999997"">- documentations techniques,</div><div data-canvas-width=""165.1032"">- matériels, matériaux.</div><br><p></p><p><b>CRITERES D'EVALUATION</b></p><p></p><div data-canvas-width=""137.6688"">Les connexions sont correctement réalisées et conformes au schéma de raccordement.</div><br><p></p><p><br></p>",1,,,,0,null,,62,,
C3.6,C3.6-4,"C3.6-4 - Repérer les éléments du  circuit électrique et  électronique","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""233.36719999999997"">- Plans, schémas électriques, </div><div data-canvas-width=""197.83679999999995"">- schémas électroniques, </div><div data-canvas-width=""78.32879999999997"">- documentations techniques,</div><div data-canvas-width=""165.1032"">- matériels, matériaux.</div><br><p></p><p><b>CRITERES D'EVALUATION</b></p><p></p><div data-canvas-width=""62.376"">Les éléments du circuit électrique et électronique sont correctement repérés.</div><br><p></p><p><br></p>",1,,,,0,null,,63,,
C3,C3.7,"C3.7 - Contrôler  la  mise  en  œuvre  des  équipements  électriques  et   fluidiques in stallés",,1,,,,0,null,,17,,
C3.7,C3.7-1,"C3.7-1 - Vérifier la partie fluidique  de l’installation","<p></p><div data-canvas-width=""198.8672""><i>Vérifier la partie fluidique de l’installation (sens de passage, verticalité, horizontalité, pentes, ...)<br><br></i><br><b>CONDITIONS</b><br><br><div data-canvas-width=""170.23679999999996"">- L’installation réalisée,</div><div data-canvas-width=""36.65279999999999"">- Plan,</div><div data-canvas-width=""84.67679999999997"">- schéma, </div><div data-canvas-width=""207.92"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage.</div><br><br><b>CRITERES D'EVALUATION</b><br><br><div data-canvas-width=""286.43280000000004"">Les vérifications permettent de valider la réalisation et d’enclencher les étapes de la mise en service.</div><br></div><br><p></p>",1,,,,0,null,,64,,
